tau1	tau2	tau3	tau4	p1	p2	p3	p4	g1	g2	g3	g4
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
											
2.95906	3.07989	8.38103	9.78075	3.76308	-0.782604	-1.25739	-1.72309	0.650456	0.859578	0.887445	0.958034
9.3041	4.90252	3.04754	1.36936	5.06781	-1.94006	-1.87274	-1.25501	0.413441	0.862414	0.562139	0.78176
8.97171	8.84843	3.04648	1.21452	3.40516	-1.20746	-1.27721	-0.920492	0.163041	0.766689	0.839444	0.109853
0.716415	7.6696	4.48664	2.34056	3.96379	-1.02747	-1.93894	-0.997374	0.446209	0.976744	0.929381	0.362718
3.13411	7.60877	4.94376	9.85757	3.52581	-1.12553	-1.84597	-0.554305	0.79711	0.45545	0.656947	0.820923
6.99921	9.10925	3.78407	4.26779	4.42967	-1.85714	-0.670397	-1.90213	0.261793	0.0779297	0.542884	0.469931
6.71017	3.7652	6.92931	8.81856	2.39742	-0.61459	-1.20883	-0.574004	0.17789	0.397977	0.402046	0.37663
6.95351	1.37913	5.7194	7.87031	3.2245	-0.748998	-1.18652	-1.28898	0.371385	0.633204	0.732741	0.380544
4.68985	4.00775	1.47857	3.73379	4.0413	-1.41034	-1.2382	-1.39275	0.269708	0.250364	0.164941	0.482439
9.8415	1.41382	9.76986	7.64162	4.7276	-1.99136	-0.857637	-1.87859	0.376356	0.544415	0.792039	0.116263
5.93011	6.73087	6.24514	0.533288	2.32709	-0.702501	-1.11692	-0.507671	0.239816	0.56311	0.164461	0.753701
5.3813	8.01452	8.09517	6.76925	5.50755	-1.97271	-1.84933	-1.6855	0.359974	0.173569	0.349144	0.62886
1.61679	2.93923	0.819791	4.1918	3.75228	-1.48488	-1.28058	-0.986816	0.899698	0.866546	0.303921	0.0776101
8.5516	8.31495	2.54996	9.92681	4.89171	-1.80863	-1.16706	-1.91603	0.612404	0.280983	0.354342	0.472192
1.13211	2.92032	8.95108	7.24858	5.03368	-1.84608	-1.36278	-1.82482	0.352292	0.524173	0.599004	0.67439
7.02136	4.37429	4.7759	8.83843	3.33586	-0.962392	-1.40763	-0.965839	0.7111	0.625364	0.468335	0.895143
4.95224	8.08867	8.88332	5.69456	5.0673	-1.68141	-1.87706	-1.50882	0.305662	0.307904	0.889894	0.879428
4.14283	2.43909	1.29046	9.45644	3.9348	-1.4693	-1.76694	-0.698556	0.800757	0.840807	0.917833	0.793982
9.34613	7.92003	2.33528	3.26918	4.58117	-1.10675	-1.74708	-1.72734	0.836076	0.713254	0.161518	0.515983
